iter	Passed	Remaining
467	728	827
468	729	825
469	730	823
470	731	821
471	732	819
472	734	817
473	735	816
474	736	814
475	738	812
476	739	810
477	740	808
478	741	806
479	743	805
480	744	803
481	745	801
482	746	799
483	748	797
484	749	795
485	751	794
486	752	792
487	753	790
488	755	788
489	756	787
490	757	785
491	758	783
492	759	781
493	761	779
494	762	777
495	763	775
496	764	773
497	765	771
498	767	770
499	768	768
500	769	766
501	770	764
502	771	762
503	773	760
504	774	759
505	775	757
506	776	755
507	778	753
508	779	751
509	780	749
510	781	748
511	783	746
512	784	744
513	785	743
514	787	741
515	788	739
516	789	737
517	790	735
518	792	734
519	793	732
520	794	730
521	795	728
522	796	726
523	798	725
524	799	723
525	800	721
526	801	719
527	803	718
528	804	716
529	805	714
530	807	712
531	808	711
532	809	709
533	810	707
534	811	705
535	813	703
536	814	702
537	815	700
538	816	698
539	818	696
540	819	695
541	821	693
542	822	692
543	824	690
544	825	688
545	826	687
546	827	685
547	829	684
548	830	682
549	831	680
550	833	678
551	834	677
552	835	675
553	836	673
554	838	672
555	839	670
556	840	668
557	842	667
558	843	665
559	844	663
560	845	661
561	847	660
562	848	658
563	849	656
564	850	654
565	851	653
566	853	651
567	854	649
568	855	648
569	856	646
570	857	644
571	859	642
572	860	641
573	861	639
574	862	637
575	863	635
576	864	633
577	865	632
578	866	630
579	868	628
580	869	626
581	870	624
582	871	623
583	872	621
584	873	619
585	874	618
586	876	616
587	877	614
588	878	612
589	879	611
590	880	609
591	881	607
592	882	605
593	883	604
594	885	602
595	886	600
596	887	598
597	888	597
598	889	595
599	890	593
600	891	592
601	893	590
602	894	588
603	895	586
604	896	585
605	897	583
606	898	581
607	899	580
608	900	578
609	901	576
610	903	575
611	904	573
612	905	571
613	906	570
614	907	568
615	909	566
616	910	565
617	911	563
618	912	561
619	913	560
620	914	558
621	916	556
622	917	555
623	918	553
624	919	551
625	920	550
626	921	548
627	923	546
628	924	545
629	925	543
630	926	541
631	927	540
632	929	538
633	930	537
634	931	535
635	932	533
636	933	532
637	935	530
638	936	528
639	937	527
640	938	525
641	939	524
642	941	522
643	942	520
644	943	519
645	944	517
646	946	516
647	947	514
648	948	513
649	949	511
650	951	509
651	952	508
652	953	506
653	954	504
654	955	503
655	957	501
656	958	500
657	959	498
658	960	497
659	961	495
660	963	494
661	964	492
662	965	490
663	966	489
664	967	487
665	969	486
666	970	484
667	971	482
668	972	481
669	973	479
670	975	478
671	976	476
672	977	474
673	978	473
674	979	471
675	980	470
676	982	468
677	983	467
678	984	465
679	985	463
680	986	462
681	987	460
682	989	459
683	990	457
684	991	456
685	993	454
686	994	453
687	995	451
688	996	449
689	998	448
690	999	446
691	1000	445
692	1001	443
693	1002	442
694	1003	440
695	1004	438
696	1005	437
697	1007	435
698	1008	434
699	1009	432
700	1010	431
701	1011	429
702	1012	427
703	1014	426
704	1015	424
705	1015	423
706	1017	421
707	1018	419
708	1019	418
709	1020	416
710	1021	415
711	1022	413
712	1023	412
713	1025	410
714	1026	409
715	1027	407
716	1028	406
717	1029	404
718	1031	402
719	1032	401
720	1033	399
721	1034	398
722	1035	396
723	1037	395
724	1038	393
725	1039	392
726	1040	390
727	1041	389
728	1043	387
729	1044	386
730	1045	384
731	1046	383
732	1047	381
733	1048	380
734	1050	378
735	1051	377
736	1052	375
737	1054	374
738	1055	372
739	1056	371
740	1058	369
741	1059	368
742	1060	366
743	1062	365
744	1063	364
745	1065	362
746	1066	361
